Reporter Name,Partner Name,Year,Trade Flow,No Of exported HS6 digit Products,No Of imported HS6 digit Products,Export Share in Total Products (%),Import Share in Total Products (%),Trade Balance (US$ Thousand),Export (US$ Thousand),Import (US$ Thousand),Import Partner Share (%),Export Partner Share (%),AHS Simple Average (%),AHS Weighted Average (%),AHS Total Tariff Lines,AHS Dutiable Tariff Lines Share (%),AHS Duty Free Tariff Lines Share (%),AHS Specific Tariff Lines Share (%),AHS AVE Tariff Lines Share (%),AHS MaxRate (%),AHS MinRate (%),AHS SpecificDuty Imports(US$ Thousand),AHS Dutiable Imports (US$ Thousand),AHS Duty Free Imports (US$ Thousand),MFN Simple Average (%),MFN Weighted Average (%),MFN Total Tariff Lines,MFN Dutiable Tariff Lines Share (%),MFN Duty Free Tariff Lines Share (%),MFN Specific Tariff Lines Share (%),MFN AVE Tariff Lines Share (%),MFN MaxRate (%),MFN MinRate (%),MFN SpecificDuty Imports (US$ Thousand),MFN Dutiable Imports (US$ Thousand),MFN Duty Free Imports (US$ Thousand),No Of Tariff Agreement
"Other Asia, nes",Belgium,2019,Exports & Imports,,,,,765461.22,1406665.93,641204.71,0.22,0.43,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes",Benin,2019,Exports & Imports,,,,,1113.37,1113.4,0.03,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes",Burkina Faso,2019,Exports & Imports,,,,,4508.09,4732.24,224.14,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes",Bangladesh,2019,Exports & Imports,,,,,1072209.6,1168867.2,96657.6,0.03,0.35,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes",Bulgaria,2019,Exports & Imports,,,,,68223.26,101550.81,33327.55,0.01,0.03,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes",Bahrain,2019,Exports & Imports,,,,,-193719.16,38513.42,232232.58,0.08,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes","Bahamas, The",2019,Exports & Imports,,,,,174.26,696.21,521.95,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes",Bosnia and Herzegovina,2019,Exports & Imports,,,,,2366.13,5171.08,2804.95,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes",Saint Barthélemy,2019,Exports & Imports,,,,,76.62,79.98,3.37,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes",Belarus,2019,Exports & Imports,,,,,-574.1,21430.78,22004.88,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
